PRACTICE;JSC;SKILLS;horizon
S2P	;	S2P DL-EWM Technical	;	EWM Master Data Management (overview),EWM Inbound Logistics (overview),EWM Outbound Logistics (overview),EWM Internal Processes (overview),EWM CIF (Core Interface),EWM Hanged Queue Management,EWM PPF (Post Processing Framework),EWM BRFPlus Conditions ,EWM ABAP WDA,EWM Adobe Forms,EWM SAP FIORI ,SAP OData Services,EWM SOA Services, Web Services ,BOPF (Business Object Processing Framework ,Enhancement to Standard BOPF,UI (User interface capabilities),UI Enhancement (FPM/FBI),Floor Plan Manager (FPM) ,FPM BOPF Integration(FBI) ,EWM RFUI -Scanners ,EWM RFUI - Label Management,EWM MFS Integration ,EWM Wearables - Integration,EWM TM Integration ,EWM YL Integration ,EWM GTS Integration ,EWM Analytics / KPI 	;	
S2P	;	S2P DL-TM - S/4HANA 	;	Embedded TM -Basic,Embedded TM - Advance,Decentralized TM,TM Strategic Procurement,TM Master Data,TM Organization Structure,TM Network Management,TM Order Management,TM Planning,TM Shipment Execution ,TM Charge Calculation,TM Charge Settlement,TM - S/4HANA Integration ,TM Fleet Management ,TM Shipper Scenario,TM LSP Scenario,TM FTL / LTL ,TM FCL/ LCL ,TM Moot- Road and Rail ,TM Moot- Ocean / Air ,TM Inter Modal / Multi Modal ,TM Load Planning / Load Building,TM-EWM Integration ,TM-YL Integration ,TM-GTS Integration ,TM-LBN Integration ,TM-3rd Party Planning Optimizer Integration ,TM-GPS / Tracker system Integration ,TM Analytics / KPI ,TM  Value Canvas,TM  Value Solution Levers mappings	;	
S2P	;	S2P DL-TM - S/4HANA (SaaS)	;	TM Strategic Procurement,TM Master Data,TM Organization Structure,TM Network Management,TM Order Management,TM Planning,TM Shipment Execution ,TM Charge Calculation,TM Charge Settlement,TM - S/4HANA Integration ,TM Fleet Management ,TM Shipper Scenario,TM LSP Scenario,TM FTL / LTL ,TM FCL/ LCL ,TM Moot- Road and Rail ,TM Moot- Ocean / Air ,TM Inter Modal / Multi Modal ,TM Load Planning / Load Building,TM-EWM Integration ,TM-YL Integration ,TM-GTS Integration ,TM-LBN Integration ,TM-3rd Party Planning Optimizer Integration ,TM-GPS / Tracker system Integration ,TM Analytics / KPI ,TM  Value Canvas,TM  Value Solution Levers mappings,	;	
S2P	;	S2P DL-TM - SCM (Side Car)	;	TM Strategic Procurement,TM Master Data,TM Organization Structure,TM Network Management,TM Order Management,TM Planning,TM Shipment Execution ,TM Charge Calculation,TM Charge Settlement,TM - SAP ERP Integration ,TM Fleet Management ,TM Shipper Scenario,TM LSP Scenario,TM FTL / LTL ,TM FCL/ LCL ,TM Moot- Road and Rail ,TM Moot- Ocean / Air ,TM Inter Modal / Multi Modal ,TM Load Planning / Load Building,TM CIF (Core Interface),TM-EWM Integration ,TM-YL Integration ,TM-GTS Integration ,TM-CCP Integration ,TM-Event management Integration ,TM-LBN Integration ,TM-3rd Party Planning Optimizer Integration ,TM-GPS / Tracker system Integration ,TM Analytics / KPI ,TM  Value Canvas,TM  Value Solution Levers mappings	;	
S2P	;	S2P DL-TM Technical	;	TM Master Data,TM Organization Structure,TM Network Management,TM Shipper Scenario ,TM LSP  Scenario ,TM BOPF (Business Object Processing Framework ,TM Enhancement to Standard BOPF,TM UI (User interface capabilities),TM UI Enhancement (FPM/FBI),TM Floor Plan Manager (FPM) ,FPM BOPF Integration(FBI) ,TM-POWL(Personal Object Work Lists),TM-BADIs,TM-Implicit Enhancements ,TM-BRFplus Conditions ,TM-Web Services,TM-PPF ,TM-Adobe Forms,Web-Dynpro ABAP ,SAP FIORI ,SAP OData Services,Services, Web Services ,TM CIF (Core Interface),TM-EWM Integration ,TM -YL Integration ,TM - GTS Integration ,TM-CCP Integration ,TM- Event management Integration ,TM-LBN Integration ,TM-3rd Party Planning Optimizer Integration ,TM-GPS / Tracker system Integration ,TM Analytics / KPI ,	;	
S2P	;	S2P MDG - S/4HANA 	;	MDG -M,MDG-BP,MDG-F,MDG Utopia extensions,MDC Master Data Consolidation ,DQM Data Quality Management ,SAP FIORI,MDG Custom Data Modeling ,MDG Data Modeling ,MDG Data Model Extensions,MDG Custom Data Modeling ,MDG UI Modeling ,MDG Process Modeling ,MDG Data Quality,MDG BRFplus Workflow,MDG BRFplus Validation, Derivations & Defaults,MDG DIF  Data Import Framework,MDG DRFOUT ,MDG SOA Services ,MDG ALE-IDOC,MDG- Ariba Integration ,MDG- C4C/Salesforce integration,MDG- CRM /MS-Dynamics Integration,MDG-PLM Integration ,MDG-ETL Data Profiling,MDG-ETL Data Cleaning / Enrichment ,MDG-ETL Data Profiling,MDG-3rd Party Integration for data cleansing ,	;	
S2P	;	S2P MDG - ERP ECC	;	MDG -M,MDG-BP,MDG-F,MDG Utopia extensions,MDC Master Data Consolidation ,DQM Data Quality Management ,MDG Custom Data Modeling ,MDG Data Modeling ,MDG Data Model Extensions,MDG Custom Data Modeling ,MDG UI Modeling ,MDG Process Modeling ,MDG Data Quality,MDG BRFplus Workflow,MDG BRFplus Validation, Derivations & Defaults,MDG DIF  Data Import Framework,MDG DRFOUT ,MDG SOA Services ,MDG ALE-IDOC,MDG- Ariba Integration ,MDG- C4C/Salesforce integration,MDG- CRM /MS-Dynamics Integration,MDG-PLM Integration ,MDG-ETL Data Profiling,MDG-ETL Data Cleaning / Enrichment ,MDG-ETL Data Profiling,MDG-3rd Party Integration for data cleansing 	;	
S2P	;	S2P Federated MDG - S/4HANA (SaaS)	;	MDG -M,MDG-BP,MDG-F,SAP BTP ,MDG Utopia extensions,MDC Master Data Consolidation ,DQM Data Quality Management ,SAP FIORI,MDG Custom Data Modeling ,MDG Data Modeling ,MDG Data Model Extensions,MDG Custom Data Modeling ,MDG UI Modeling ,MDG Process Modeling ,MDG Data Quality,MDG BRFplus Workflow,MDG BRFplus Validation, Derivations & Defaults,MDG DIF  Data Import Framework,MDG DRFOUT ,MDG SOA Services ,MDG ALE-IDOC,MDG- Ariba Integration ,MDG- C4C/Salesforce integration,MDG- CRM /MS-Dynamics Integration,MDG-PLM Integration ,MDG-ETL Data Profiling,MDG-ETL Data Cleaning / Enrichment ,MDG-ETL Data Profiling,MDG-3rd Party Integration for data cleansing 	;	
S2P	;	S2P MDG Technical	;	MDG Data Modeling ,MDG Data Model Extensions,MDG-Custom Data Modeling ,MDC- Master Data Consolidation ,DQM- Data Quality Management ,MDG-SMT Service Mapping Tool,MDG-Custom Data Modeling ,MDG UI Modeling & Enhancements ,MDG BRFplus Workflow,MDG BRFplus Validation, Derivations & Defaults,MDG DIF  Data Import Framework,MDG DRFOUT ,MDG Key Mapping ,MDG Value Mapping ,MDG-BADI, BAPI/RFC/FM,MDG-FPM (Floor Plan Manager),Web-Dynpro ABAP ,SAP FIORI ,SAP OData Services,MDG SOA Services, Web Services ,ALE-IDOC,MDG- Ariba Integration ,MDG- C4C/Salesforce integration,MDG- CRM /MS-Dynamics Integration,MDG-PLM Integration ,MDG-3rd Party Integration for data cleansing ,	;	
S2P	;	S2P MM - SAP ECC	;	MM Organization Structure ,MM Purchasing Master Data ,MM Sourcing ,MM Contracts & Release Orders,MM Scheduling Agreement & Schedule Lines,MM Procurement for Stock ,MM Procurement for Direct Consumption,MM Procurement of External Services,MM Sub-Contracting ,MM-Stock Transport Order,MM- 3rd Party Procurement,MM Release Strategies ,MM Pricing and conditions ,MM Material Valuation ,MM Inventory Management,MM Batch Management,MM Serial Number Management,MM Shelf Life Management,MM HU Management ,MM Supplier Invoice Verification,MM ALE-IDOCs,MM BADI, BAPI, Exits ,MM Workflows,MM FI Account Determination ,MM PP Material Staging ,MM QM Integration ,MM SD Integration,MM Supplier Collaboration ,MM 3PL integration ,MM Ariba Integration ,	;	
S2P	;	S2P MM - S/4HANA 	;	MM Organization Structure ,MM Purchasing Master Data ,MM Sourcing ,MM Category Management,MM Situation Management,MM Supplier Vendor Evaluation,MM Self Service Procurement,MM FIORI ,MM Contracts & Release Orders,MM Scheduling Agreement & Schedule Lines,MM Procurement for Stock ,MM Procurement for Direct Consumption,MM Procurement of External Services,MM Sub-Contracting ,MM-Stock Transport Order,MM- 3rd Party Procurement,MM Release Strategies ,MM Pricing and conditions ,MM Material Valuation ,MM Inventory Management,MM Batch Management,MM Serial Number Management,MM Shelf Life Management,MM HU Management ,MM Supplier Invoice Verification,MM ALE-IDOCs,MM BADI, BAPI, Exits ,MM Workflows,MM FI Account Determination ,MM PP Material Staging ,MM QM Integration ,MM SD Integration,MM Supplier Collaboration ,MM 3PL integration ,MM Ariba Integration 	;	
S2P	;	S2P MM - S/4HANA (SaaS)	;	MM Organization Structure ,MM Purchasing Master Data ,MM Sourcing ,MM Category Management,MM Situation Management,MM Supplier Vendor Evaluation,MM Self Service Procurement,MM FIORI ,MM Contracts & Release Orders,MM Scheduling Agreement & Schedule Lines,MM Procurement for Stock ,MM Procurement for Direct Consumption,MM Procurement of External Services,MM Sub-Contracting ,MM-Stock Transport Order,MM- 3rd Party Procurement,MM Release Strategies ,MM Pricing and conditions ,MM Material Valuation ,MM Inventory Management,MM Batch Management,MM Serial Number Management,MM Shelf Life Management,MM HU Management ,MM Supplier Invoice Verification,MM ALE-IDOCs,MM BADI, BAPI, Exits ,MM Workflows,MM FI Account Determination ,MM PP Material Staging ,MM QM Integration ,MM SD Integration,MM Supplier Collaboration ,MM 3PL integration ,MM Ariba Integration 	;	
S2P	;	S2P WM - SAP ECC	;	MM WM Organization Structure ,MM WM Purchasing Master Data ,MM Sourcing ,MM Contracts & Release Orders,MM Scheduling Agreement & Schedule Lines,MM Procurement for Stock ,MM Procurement for Direct Consumption,MM Procurement of External Services,MM Sub-Contracting ,MM-Stock Transport Order,MM- 3rd Party Procurement,MM Release Strategies ,MM Pricing and conditions ,MM Material Valuation ,MM Inventory Management,MM Batch Management,MM Serial Number Management,MM Shelf Life Management,MM HU Management,WM SU Management ,MM Supplier Invoice Verification,MM ALE-IDOCs,MM BADI, BAPI, Exits ,MM Workflows,MM FI Account Determination ,MM SD Integration,MM Supplier Collaboration ,MM 3PL integration ,MM Ariba Integration ,WM Storage Bin Determination,WM Queue & Resource Management,WM Exception Management ,WM Inbound Logistics,WM Outbound Logistics,WM Putaway and Removal Strategies,WM RF Scanner Solution,WM Physical Inventory ,WM Replenishment,WM Wave Management,WM Cross Docking ,WM 2 Step Picking ,WM PP Integration,WM-QM Integration	;	
S2P	;	S2P WM - S/4HANA Compatibility 	;	MM WM Organization Structure ,MM WM Purchasing Master Data ,MM Sourcing ,MM Contracts & Release Orders,MM Scheduling Agreement & Schedule Lines,MM Procurement for Stock ,MM Procurement for Direct Consumption,MM Procurement of External Services,MM Sub-Contracting ,MM-Stock Transport Order,MM- 3rd Party Procurement,MM Release Strategies ,MM Pricing and conditions ,MM Material Valuation ,MM Inventory Management,MM Batch Management,MM Serial Number Management,MM Shelf Life Management,MM HU Management,WM SU Management ,MM Supplier Invoice Verification,MM ALE-IDOCs,MM BADI, BAPI, Exits ,MM Workflows,MM FI Account Determination ,MM SD Integration,MM Supplier Collaboration ,MM 3PL integration ,MM Ariba Integration ,WM Storage Bin Determination,WM Queue & Resource Management,WM Exception Management ,WM Inbound Logistics,WM Outbound Logistics,WM Putaway and Removal Strategies,WM RF Scanner Solution,WM Physical Inventory ,WM Replenishment,WM Wave Management,WM Cross Docking ,WM 2 Step Picking ,WM PP Integration,WM-QM Integration	;	
S2P	;	S2P WM SRM - S/4HANA 	;	MM WM Organization Structure ,MM WM Purchasing Master Data ,MM Sourcing ,MM Contracts & Release Orders,MM Scheduling Agreement & Schedule Lines,MM Procurement for Stock ,MM Procurement for Direct Consumption,MM Procurement of External Services,MM Sub-Contracting ,MM-Stock Transport Order,MM- 3rd Party Procurement,MM Release Strategies ,MM Pricing and conditions ,MM Material Valuation ,MM Inventory Management,MM Batch Management,MM Serial Number Management,MM Shelf Life Management,MM HU Management,WM SU Management ,MM Supplier Invoice Verification,MM ALE-IDOCs,MM BADI, BAPI, Exits ,MM Workflows,MM FI Account Determination ,MM SD Integration,MM Supplier Collaboration ,MM 3PL integration ,MM Ariba Integration ,WM Storage Bin Determination,WM Queue & Resource Management,WM Exception Management ,WM Inbound Logistics,WM Outbound Logistics,WM Putaway and Removal Strategies,WM RF Scanner Solution,WM Physical Inventory ,WM Replenishment,WM Wave Management,WM Cross Docking ,WM 2 Step Picking ,WM PP Integration,WM-QM Integration	;	
S2P	;	S2P QM - SAP ECC	;	QM Master Data ,Classification,QM in Procurement,QM in Production ,QM in Sales & Distribution,QM Quality Planning,QM Quality Inspection ,QM Quality Certification ,QM Quality Notification,QM Equipment Calibration ,QM Audit Management,QM Integration with Labs,QM Integration with MES,Batch Management,Serial Number Management,Shelf Life Management,Dangerous Good Management,HU Management,	;	
S2P	;	S2P QM - S/4HANA	;	QM Master Data ,Classification,QM in Procurement,QM in Production ,QM in Sales & Distribution,QM Quality Planning,QM Quality Inspection ,QM Quality Certification ,QM Quality Notification,QM Equipment Calibration ,QM Audit Management,QM Integration with Labs,QM Integration with MES,Batch Management,Serial Number Management,Shelf Life Management,Dangerous Good Management,HU Management,	;	
S2P	;	S2P QM - S/4HANA (SaaS)	;	QM Master Data ,Classification,QM in Procurement,QM in Production ,SAP FIORI ,QM in Sales & Distribution,QM Quality Planning,QM Quality Inspection ,QM Quality Certification ,QM Quality Notification,QM Equipment Calibration ,QM Audit Management,QM Integration with Labs,QM Integration with MES,Batch Management,Serial Number Management,Shelf Life Management,Dangerous Good Management,	;	
S2P	;	S2P WM-LE	;	LE Master Data Management ,LE Organization Structure ,LE Shipping Point Determination,LE Pricing Conditions ,LE Route Determination ,LE Inbound Shipment,LE Outbound Shipment,LE Inbound Deliveries ,LE Outbound Deliveries ,LE Shipment Settlement,LE HU Management ,WM Inbound Logistics,WM Batch Management,WM Serial Number Management,WM Shelf Life Management,WM Outbound Logistics,WM Putaway and Removal Strategies,WM RF Scanner Solution,WM RF Scanner Labels,WM Physical Inventory ,WM Replenishment,WM Wave Management,WM Cross Docking ,WM 2 Step Picking ,WM PP Integration,WM QM Integration,LE Integration with 3PL Warehouse ,LE Integration with 3rd Party TM ,LE Integration with Carriers DHL, FedEx	;	
SOLMAN	;	SAP AUTOMATION - Automation Anywhere	;	RPA Automation Anywhere,SAP SOLMAN,	;	H2
SOLMAN	;	SAP AUTOMATION - BluePrism	;	RPA BluePrism,SAP SOLMAN,	;	H2
SOLMAN	;	SAP AUTOMATION - CAI	;	SAP CAI	;	H3
SOLMAN	;	SAP AUTOMATION - IRPA	;	SAP IRPA	;	H2
SOLMAN	;	SAP AUTOMATION - UiPATH	;	RPA UiPath,SAP SOLMAN,	;	H2
SOLMAN	;	SAP TESTING - CBTA	;	SAP CBTA,VB Scripting,	;	H1
SOLMAN	;	SAP TESTING - MANUAL	;	SAP Testing,Manual Testing,	;	H1
SOLMAN	;	SAP TESTING - TOSCA	;	Tosca,Worksoft,	;	H2
SOLMAN	;	SAP TESTING - UFT	;	UFT,Worksoft,SAP CBTA,VB Scripting,	;	H2
SOLMAN	;	SAP TESTING - WORKSOFT	;	Worksoft,Tosca,	;	H2
SOLMAN	;	SAP TESTING Management	;	Tosca,Worksoft,UFT,SAP CBTA,Test Management,SAP Testing,	;	H2
SOLMAN	;	SAP TESTING Solutions	;	Tosca,Worksoft,UFT,SAP CBTA,SAP Testing	;	H2
SOLMAN	;	SOLMAN ALM - CHARM	;	SAP CHARM,SAP FOCUSED BUILD,SAP ITSM	;	H2
SOLMAN	;	SOLMAN ALM - Focused Build	;	SAP FOCUSED BUILD,SAP CHARM,SAP ITSM	;	H3
SOLMAN	;	SOLMAN ALM - ITSM	;	SAP ITSM,SAP CHARM,	;	H1
SOLMAN	;	SOLMAN ALM - SAC	;	SAP SAC,SAP SAC,	;	H2
SOLMAN	;	SOLMAN ALM - SOLDOC	;	SAP SOLMAN SOLDOC,SAP SOLDOC,	;	H1
SOLMAN	;	SOLMAN ALM-AOP	;	SAP CHARM,SAP SOLDOC,SAP Focus Build,SAP Focused Insight,SAP SAC,SAP ITSM,	;	H2
SOLMAN	;	SOLMAN AOP - BPMON	;	SOLMAN BPMON,SOLMAN ICMON,SOLMAN SYSMON,SOLMAN EUEM,SOLMAN DVM	;	H2
SOLMAN	;	SOLMAN AOP - EUEM	;	SOLMAN EUEM,SOLMAN BPMON,SOLMAN ICMON,SOLMAN SYSMON,SOLMAN DVM	;	H3
SOLMAN	;	SOLMAN AOP - FI	;	SAP Focused Insight,SOLMAN BPMON,SOLMAN ICMON,SOLMAN SYSMON,SOLMAN DVM	;	H2
SOLMAN	;	SOLMAN AOP - ICMON	;	SOLMAN ICMON,SOLMAN BPMON,SOLMAN SYSMON,SOLMAN EUEM,SOLMAN DVM	;	H2
SOLMAN	;	SOLMAN AOP - SYSMON	;	SOLMAN SYSMON,SOLMAN BPMON,SOLMAN ICMON,SOLMAN EUEM,SOLMAN DVM	;	H2
BASIS	;	BASIS Enterprise Architecture	;	HANA (SoH, S/4HANA, BW/4HANA) Installation/Configuration/Performance Tuning,S/4HANA Migration,S/4HANA Conversion,Upgrade to S/4HANA,HANA Replication Setup/Validation,HANA Backup/Recovery,HANA Memory/Workload Management,HANA Table Partitioning,HANA DB Encryption,HANA SDA/SDI Integration,Migration to Cloud Azure/AWS/Google Cloud,Exposure to 3rd Party Migration tools SNP, Shareplex,Cloud Administation consisitng of NAT Gateway/ VPC/Vnet/Subnet Configuration,Cloud Monitoring Tools,Cloud Backup/Recovery,Cloud performnace Tuning ,Cloud Storage management,Azure ASR and Load Balancer Setup,Oracle Database Management,Oracle DB Install/DB Patching,Oracle Performance Tuning,Oracle HA/DR Setup (Data Guard/Golden-Gate),Backup/Recovery using RMAN/Export/Import and 3rd party tools,Sybase Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery,DB2 Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery,MS-SQL Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery,MaxDB Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery,Experience on SAP Administrative tasks like  Performance Tuning/Monitoring/Troubleshooting/Transport management/Client and OSS administration/Printer management/SSO setup/HEC and Rise on SAP ,System Refresh using standard SAP tools and thru 3rd party tools like LAMA/Libelle,SAP ECC,SAP BW,SAP SCM/APO/Live Cache,BOBJ/BODS,Content Server,SAP PI/PO,SAP Portal/Wily Interoscope,SAP Web Dispatcher,SAP Fiori/SAP Gateway,SAP SRM/EWM/CRM,SAP MDM,SAP SLT,SAP BTP,SAP IDM,SAP MII,SAP SMP,SAP On Rise,Solman Managed System Configuration/Charm/Technical Monitoring Setup/Alert tuning,OS Administration for Widnows and Unix based flavours including Cluster setup for HA/DR,SAP Upgrade using Downtime Optimization Techniques for Release/SP/EHP Upgrade,Hardware Sizing for AZURE/AWS/Google Cloud based platforms	;	H1
BASIS	;	BASIS Advanced Operations	;	SAP ECC,SAP BW,SAP SCM/APO/Live Cache,BOBJ/BODS,Content Server,SAP PI/PO,SAP Portal/Wily Interoscope,SAP Web Dispatcher,SAP Fiori/SAP Gateway,SAP SRM/EWM/CRM,SAP MDM,SAP SLT,SAP BTP,SAP IDM,SAP MII,SAP SMP,SAP On Rise,SAP System Management comprising of Roll outs/Periodic patching or upgrades/EWA analysis and recommendations/Performance Tunning/SAP Security assessment for vulnerability,DR Drill/RTO-RPO assessment/SAP Backup management thru standard SAP tools and 3rd party tools ike Commvault/Tidal/Backint,System Refresh using standard SAP tools and thru 3rd party tools like LAMA/Libelle,Solman Managed System Configuration/Charm/Technical Monitoring Setup/Alert tuning,SAP Upgrade using Downtime Optimization Techniques for Release/SP/EHP Upgrade,Application Integration with SAP and Non SAP platforms,Archiving solutions,OS Administration for Widnows and Unix based flavours with automation flavor using scripting approach,Good experience on  AZURE/AWS/Google Cloud based platforms,HANA (SoH, S/4HANA, BW/4HANA) Administration/Performance Tuning/Installation/DB-Patching/HADR sertup/Backup/Recovery,Oracle Database Management,Oracle DB Install/DB Patching,Oracle Performance Tuning,Oracle HA/DR Setup (Data Guard/Golden-Gate),Backup/Recovery using RMAN/Export/Import and 3rd party tools,Sybase Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery,DB2 Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery,MS-SQL Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery,MaxDB Administration/Installation/DB-Patching/HADR sertup/Backup/Recovery,Experience on SAP Administrative tasks like  Performance Tuning/Monitoring/Troubleshooting/Transport management/Client and OSS administration/Printer management/SSO setup/HEC and Rise on SAP ,Automation of Repetitive tasks at OS level thru scripting	;	H1
BASIS	;	BASIS Core Operations	;	SAP ECC,SAP BW,SAP SCM/APO/Live Cache,BOBJ/BODS,Content Server,SAP PI/PO,SAP Portal/Wily Interoscope,SAP Web Dispatcher,SAP Fiori/SAP Gateway,SAP SRM/EWM/CRM,SAP MDM,SAP SLT,SAP BTP,SAP IDM,SAP MII,SAP SMP,SAP On Rise,Application Integration with SAP and Non SAP platforms,Experience on SAP Administrative tasks like  Performance Tuning/Monitoring/Troubleshooting/Transport management/Client and OSS administration/Printer management/SSO setup/HEC and Rise on SAP ,SAP System Management comprising of Roll outs/Periodic patching or upgrades/EWA analysis and recommendations/Performance Tunning/SAP Security assessment for vulnerability,System Refresh using standard SAP tools and thru 3rd party tools like LAMA/Libelle,DR Drill/RTO-RPO assessment/SAP Backup management thru standard SAP tools and 3rd party tools ike Commvault/Tidal/Backint,Solman Managed System Configuration/Charm/Technical Monitoring Setup/Alert tuning,OS Administration for Widnows and Unix based flavours	;	H1
BASIS	;	BASIS Migrations	;	Good understanding on SAP PAM and tools used for Installation and Upgrade,Hardware Sizing for AZURE/AWS/Google Cloud based platforms,Homogeneous and Heterogeneous migration tools like classical migration/Backup-Restore/SUM/DMO/DMO-System Move/System Split/R3Load/Migmon/SWPM/Unicode conversion,Migration of SAP applications to Cloud using 3rd party tools like SNP, Shareplex,Downtime Optimization during migration,Basis understanding on Cloud Monitoring Tools/ASR/Load Balancer/NAT Gateway/VPC/VNet/Subnet Configuration/Storage management/Backup/Recovery/Performance tuning,Experience on SAP Administrative tasks like  OS administration/Performance Tuning/Monitoring/Troubleshooting/Transport management/Client and OSS administration/Printer management/SSO setup	;	H1
BASIS	;	BASIS UPGRADE / INSTALLATION	;	Good understanding on SAP PAM and tools used for Installation and Upgrade,Hardware Sizing,Experience on Installation/SP Upgrade/OS-DB upgrade including HA/DR setup and validation,Experience on SAP Administrative tasks like  OS administration/Performance Tuning/Monitoring/Troubleshooting/Transport management/Client and OSS administration/Printer management/SSO setup,Downtime Optimization during upgrade 	;	H1
BASIS	;	BASIS Non-SAP Solutions	;	Background Job monitoring tools as CPS Redwood Scheduler/Control-M/UC4/Tidal/Autosys,Taxware,ILM Archiving,OpenText,Connect Direct,Informatica,Deofast,Signing Certificates,Vertex,Paymetric,sFTP,SSO,RevTrac,Readsoft,SAP Ariba	;	H1
BASIS	;	BASIS Cloud Architect	;	Expertise on all Infrastructure and network level activities for  AZURE Cloud based platform,Expertise on all Infrastructure and network level activities for AWS Cloud based platform,Expertise on all Infrastructure and network level activities for  Google Cloud based platform,Design Cloud Solutions for Infrastructure/Applications,create and execute cloud computing strategies by designing/developing and managing cloud infrastructure,Evaluating cloud applications/hardware/software,Monitoring and Performance tuning of Cloud Infrastructure,Expertise on Backup/Restore techniques considering RTO-RPO requirements,Expertise on Cluster setup at OS level for HA/DR	;	H1
SECURITY	;	SAP Security- ADVANCED SECURITY	;	ROLE DESIGN/REDESIGN & BUILD,POST UPGRADE SU25 EXECUTION Step 2 (all steps),SAP USER LICENSE MEASUREMENT,GRC AC/PC CONFIGURATION (ARA/ARM/EAM/BRM),CUSTOM RULESET CREATION,SOD CONFIGURATION AND ANLAYSIS,UAR CONFIGURATION (Automatic/Manual)/Template  creation,MSMP/BRF Configuration,GRC BACKGROUND JOBS variant creation/scheduling,GRC AC/PC TROUBLSHOOTING,BI/HR security (user management/role management)	;	H1
SECURITY	;	SAP Security- SECURITY CORE	;	SAP USER ADMINISTRATION,SAP ROLES ADMINISTRATION ,SUIM REPORT EXTRACTION ,SECURITY CONTROLS MONITORING ,BW / HR/ Fiori/ BO-BI SECURITY ,SECURITY AUDIT HANDLING,SAP SUPPORT USER (S-USER) MAINTENANCE,SAP ROLE DOWNLOAD / UPLOAD / TRANSPORT,MASS USER MAINTENANCE,SU24 SETTINGS,TROUBLSHOOTING - STAUTHTRACE / ST01	;	H1
SECURITY	;	SAP Security- SECURITY S/4 HANA	;	S/4 HANA ROLE MANAGEMENT,GRC AC/PC CONFIGURATION (ARA/ARM/EAM/BRM),ROLE DESIGN & BUILD,ODATA SERVICES,Fiori APP CATALOGS/GROUPS,SYMENTEC OBJECTS,SYMANTEC ACTION MAPPING,Fiori ROLE DESIGN -EMBEDDED  & CENTRAL HUB,HANA DB USERS / Previlages Management,GRC AC/PC  INTEGRATION WITH S/4 HANA SYSTEMS ,SOD CONFIGURATION/ANLAYSIS and CUSTOM RULESET CREATION,CLOUD INTEGRATION,GRC INTEGRATION WITH NON SAP SYSTEMS - (GREENLIGHT ADAPTER),BI/HR security (user management/role management),UAR CONFIGURATION (Automatic/Manual)/Template  creation	;	H1
